X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
65.6125,-45.7961,147.451,0.75119,0.12865,-0.647427,5.208,0.105,142
67.2405,-50.0933,144.1,0.497447,0.86661,-0.039165,5.37,0.045,-10000
71.2427,-50.2185,144.673,0.190318,0.787678,-0.585954,5.586,0.153,-55
71.461,-49.0066,145.852,0.174345,0.683095,-0.709215,5.598,0.153,-55
72.4727,-48.9425,144.163,0.114893,0.741875,-0.660622,5.238,0.102,-57
69.919,-44.9747,153.806,0.1587,0.0437588,-0.986357,5.145,0.741,89
66.6561,-57.5778,141.631,0.457034,0.860488,-0.225125,5.523,0.153,-137
71.4892,-57.1628,145.473,0.345385,0.626849,-0.698405,5.604,0.459,-75
70.559,-44.8756,152.75,0.128075,0.00921814,-0.991722,5.223,0.843,97
71.19,-57.2005,146.896,0.379877,0.553535,-0.741143,5.292,0.462,-79
71.3252,-46.3477,155.455,0.0414324,-0.0046454,-0.99913,5.271,0.936,89
67.4499,-59.5246,144.124,0.478507,0.796439,-0.369752,5.868,0.105,-136
70.6252,-60.2306,151.011,0.378066,0.671495,-0.637308,5.199,1.065,159
72.0949,-52.5911,148.311,0.135821,0.729654,-0.670192,5.34,0.135,-56
70.2659,-48.0868,157.956,0.0796772,0.0431992,-0.995884,4.746,0.435,94
66.5378,-51.4774,149.889,0.732924,0.103674,-0.672364,5.205,0.105,-46
69.7172,-50.6817,153.298,0.169172,-0.348941,-0.921749,5.355,0.144,-64
60.3063,-52.8684,156.898,0.720467,0.0380597,-0.692444,5.565,0.993,146
65.2654,-65.041,150.078,0.311488,0.907841,-0.280712,5.715,0.339,-137
64.8741,-61.5214,156.487,0.682791,0.32704,-0.653331,5.697,1.596,149
63.4489,-59.0679,156.852,0.922352,0.261765,-0.284159,5.649,1.266,147
68.5445,-55.6586,153.005,0.388393,0.605783,-0.694391,5.598,0.225,-149
67.0321,-47.7915,161.497,0.181454,-0.288092,-0.940254,4.971,0.792,121
59.0208,-52.4405,157.405,0.747052,0.0138697,-0.664621,5.802,0.897,145
63.4079,-64.5058,150.66,0.387833,0.873036,-0.295623,6.033,0.207,-142
66.9314,-57.5681,149.188,0.495079,0.865724,-0.0736035,5.79,0.111,-10000
63.1202,-58.6939,154.919,0.820519,0.103832,-0.56211,5.034,1.356,145
62.675,-57.8405,155.688,0.88712,0.334833,-0.317655,4.938,0.891,144
64.2304,-50.9245,151.223,0.790407,0.0336591,-0.611656,5.103,0.054,-10000
65.9317,-55.5936,148.151,0.516913,0.853356,-0.0677093,5.235,0.042,-10000
63.781,-57.916,153.606,0.792286,0.256301,-0.553708,5.595,1.701,143
68.2367,-53.8201,149.404,0.348131,0.781637,-0.51754,5.64,0.159,-82
63.5045,-57.0749,154.329,0.835198,0.417144,-0.358379,5.688,1.347,141
58.6436,-50.3615,155.052,0.755024,0.140359,-0.640498,5.685,0.672,137
64.8138,-49.5511,150.042,0.788026,0.0623185,-0.612479,5.661,0.051,-10000
62.6337,-60.978,147.974,0.487929,0.84507,-0.218592,5.844,0.273,-148
68.7055,-53.0307,148.526,0.326532,0.816005,-0.476983,5.283,0.189,-81
58.9011,-49.2148,154.259,0.755284,0.111597,-0.645827,5.223,0.495,139
65.1211,-48.5543,149.288,0.800188,0.0535863,-0.597351,5.259,0.045,-10000
62.8927,-59.9799,146.637,0.488836,0.848842,-0.20126,5.628,0.252,-144
64.6133,-57.6086,150.994,0.759573,0.346468,-0.550462,5.01,0.681,146
68.8143,-52.9162,147.127,0.31504,0.843207,-0.435606,5.181,0.162,-85
63.8593,-56.1768,152.367,0.7912,0.509523,-0.338215,5.049,0.483,144
66.6189,-44.058,157.642,0.188824,-0.248302,-0.950101,4.629,0.501,-18
58.8581,-48.8649,152.979,0.761709,0.101402,-0.639935,5.118,0.462,134
65.1329,-48.279,148.068,0.807491,0.0451265,-0.588152,5.103,0.042,-10000
62.6216,-59.5736,145.53,0.521428,0.835371,-0.173974,5.463,0.273,-148
66.8385,-52.8581,144.811,0.534008,0.845457,-0.00615795,5.292,0.045,-10000
